block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_62140,18223,1,1,TO SHREWSBURY I-44 TC,111001,2_merged_3090849,3062530
b_69103,18281,1,1,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,111255,2_merged_3090849,3072858
b_69102,18281,1,1,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,111255,2_merged_3090849,3072859
b_69152,18263,1,0,19TH & CENTRAL,111158,1_merged_3090847,3076809
b_69152,18263,1,0,19TH & CENTRAL,111158,1_merged_3090847,3076808
b_69121,18282,1,1,CAHOKIA - TO CAMP JACKSON & PARIS,111257,2_merged_3090849,3073071
b_69154,18263,1,0,19TH & CENTRAL,111158,2_merged_3090849,3076801
b_69154,18263,1,0,19TH & CENTRAL,111158,2_merged_3090849,3076800
b_69154,18263,1,0,19TH & CENTRAL,111158,2_merged_3090849,3076803
b_69154,18263,1,0,19TH & CENTRAL,111158,2_merged_3090849,3076802
b_65663,18252,1,1,TO RIVERVIEW TC VIA RECORD CTR,111103,1_merged_3090847,3066397
b_69152,18263,1,0,19TH & CENTRAL,111158,1_merged_3090847,3076804
b_69152,18263,1,0,19TH & CENTRAL,111158,1_merged_3090847,3076807
b_69152,18263,1,0,19TH & CENTRAL,111158,1_merged_3090847,3076806
b_69191,18285,1,1,ALTA SITA TO EMERSON PARK TC,111266,1_merged_3090847,3073455
b_69192,18285,1,1,ALTA SITA TO EMERSON PARK TC,111266,1_merged_3090847,3073454
b_69191,18285,1,1,ALTA SITA TO EMERSON PARK TC,111266,1_merged_3090847,3073457
b_69192,18285,1,1,ALTA SITA TO EMERSON PARK TC,111266,1_merged_3090847,3073456
b_69191,18285,1,1,ALTA SITA TO EMERSON PARK TC,111266,1_merged_3090847,3073451
b_69192,18285,1,1,ALTA SITA TO EMERSON PARK TC,111266,1_merged_3090847,3073450
b_69191,18285,1,1,ALTA SITA TO EMERSON PARK TC,111266,1_merged_3090847,3073453
b_69192,18285,1,1,ALTA SITA TO EMERSON PARK TC,111266,1_merged_3090847,3073452
b_69191,18285,1,1,ALTA SITA TO EMERSON PARK TC,111266,1_merged_3090847,3073459
b_69192,18285,1,1,ALTA SITA TO EMERSON PARK TC,111266,1_merged_3090847,3073458
b_69176,18284,1,0,ROSEMONT - TO EMERSON PARK STA,111261,2_merged_3090849,3073329
b_69224,18286,1,0,WASHINGTON PARK - TO WASHINGTON PARK TC,111267,1_merged_3090847,3073634
a_65363,18310,1,0,TO CENTRAL WEST END TC,111390,2_merged_3090846,3090386
a_65362,18310,1,0,TO CENTRAL WEST END TC,111390,2_merged_3090846,3090387
a_65361,18310,1,0,TO CENTRAL WEST END TC,111390,2_merged_3090846,3090384
a_65362,18310,1,0,TO CENTRAL WEST END TC,111390,2_merged_3090846,3090385
a_65441,18315,1,1,TO CHESTERFIELD VALLEY,111406,1_merged_3090844,3083647
a_65361,18310,1,0,TO CENTRAL WEST END TC,111390,2_merged_3090846,3090383
a_65363,18299,1,1,TO OFALLON PARK,111365,2_merged_3090846,3090380
a_65363,18299,1,1,TO OFALLON PARK,111365,2_merged_3090846,3090381
b_65662,18252,1,1,TO RIVERVIEW TC VIA RECORD CTR,111103,1_merged_3090847,3066390
a_65363,18310,1,0,TO CENTRAL WEST END TC,111390,2_merged_3090846,3090388
a_65363,18310,1,0,TO CENTRAL WEST END TC,111390,2_merged_3090846,3090389
b_65873,18260,1,0,HAZELWOOD,111146,2_merged_3090849,3067595
b_62571,18248,1,0,TO SO COUNTY MALL,111074,1_merged_3090847,3072584
b_62579,18248,1,0,TO SO COUNTY MALL,111074,1_merged_3090847,3072585
b_62579,18248,1,0,TO SO COUNTY MALL,111074,1_merged_3090847,3072586
b_65873,18260,1,0,HAZELWOOD,111146,2_merged_3090849,3067594
b_62580,18248,1,0,TO SO COUNTY MALL,111074,1_merged_3090847,3072588
b_62572,18248,1,0,TO SO COUNTY MALL,111074,1_merged_3090847,3072589
b_65873,18260,1,0,HAZELWOOD,111146,2_merged_3090849,3067597
b_65656,18251,1,1,TO NORTH COUNTY TC,111099,2_merged_3090849,3066324
b_65873,18260,1,0,HAZELWOOD,111146,2_merged_3090849,3067596
b_65661,18252,1,1,TO RIVERVIEW TC VIA RECORD CTR,111103,1_merged_3090847,3066391
b_65873,18260,1,0,HAZELWOOD,111146,2_merged_3090849,3067591
b_65873,18260,1,0,HAZELWOOD,111146,2_merged_3090849,3067590
b_65873,18260,1,0,HAZELWOOD,111146,2_merged_3090849,3067593
b_65873,18260,1,0,HAZELWOOD,111146,2_merged_3090849,3067592
a_62251,18303,1,1,TO MAPLEWOOD MANCHESTER TC VIA MAPLEWOOD COMMONS,111376,2_merged_3090846,3082312
a_62251,18303,1,1,TO MAPLEWOOD MANCHESTER TC VIA MAPLEWOOD COMMONS,111376,2_merged_3090846,3082313
a_62252,18303,1,1,TO MAPLEWOOD MANCHESTER TC VIA MAPLEWOOD COMMONS,111376,2_merged_3090846,3082310
a_62251,18303,1,1,TO MAPLEWOOD MANCHESTER TC VIA MAPLEWOOD COMMONS,111376,2_merged_3090846,3082311
a_62251,18303,1,0,TO CIVIC CENTER TC VIA MAPLEWOOD COMMONS,111374,3_merged_3090845,3082316
a_62251,18303,1,0,TO CIVIC CENTER TC VIA MAPLEWOOD COMMONS,111374,3_merged_3090845,3082317
a_62251,18303,1,1,TO MAPLEWOOD MANCHESTER TC VIA MAPLEWOOD COMMONS,111376,2_merged_3090846,3082314
a_62251,18303,1,0,TO CIVIC CENTER TC VIA MAPLEWOOD COMMONS,111374,3_merged_3090845,3082315
b_69191,18285,1,0,ALTA SITA TO CAMP JACKSON & RANGE,111265,1_merged_3090847,3073440
a_62251,18303,1,0,TO CIVIC CENTER TC VIA MAPLEWOOD COMMONS,111374,3_merged_3090845,3082318
a_62251,18303,1,0,TO CIVIC CENTER TC VIA MAPLEWOOD COMMONS,111374,3_merged_3090845,3082319
b_65871,18260,1,0,HAZELWOOD,111146,2_merged_3090849,3067599
b_65286,18242,1,1,TO CHESTERFIELD VALLEY,111052,2_merged_3090849,3064791
b_65871,18260,1,0,HAZELWOOD,111146,2_merged_3090849,3067598
b_65491,18246,1,0,TO ROCK ROAD TC,111066,1_merged_3090847,3065270
b_65151,18224,1,0,TO CENTRAL WEST END TC,111003,3_merged_3090848,3062726
b_65661,18252,1,1,TO RIVERVIEW TC,111105,1_merged_3090847,3066393
b_65814,18257,1,0,TO HAMPTON GRAVOIS TC,111135,2_merged_3090849,3067198
b_69441,18272,1,0,ST. CLAIR SQ - TO COLLINSVILLE TC,111196,1_merged_3090847,3074407
b_69445,18272,1,0,ST. CLAIR SQ - TO COLLINSVILLE TC,111196,1_merged_3090847,3074406
b_69447,18272,1,0,ST. CLAIR SQ - TO ST. CLAIR SQ,111195,1_merged_3090847,3074409
b_69446,18272,1,0,ST. CLAIR SQ - TO ST. CLAIR SQ,111195,1_merged_3090847,3074408
b_62221,18228,1,1,TO STLCC MERAMEC,111016,1_merged_3090847,3063180
b_67116,18274B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,111208,2_merged_3090849,3069565
b_6271,18220,1,1,TO CENTRAL WEST END TC,110987,1_merged_3090847,3062024
a_67112,18348B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111564,3_merged_3090845,3088888
a_67115,18348R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111568,3_merged_3090845,3088889
a_67116,18348B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111564,3_merged_3090845,3088884
a_67106,18348R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111568,3_merged_3090845,3088885
a_67114,18348B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111564,3_merged_3090845,3088886
a_67101,18348R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111568,3_merged_3090845,3088887
a_67103,18348B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111564,3_merged_3090845,3088880
a_67109,18348R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111568,3_merged_3090845,3088881
a_67102,18348R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111568,3_merged_3090845,3088882
a_67116,18348B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111564,3_merged_3090845,3088883
b_65495,18246,1,1,TO RIVERVIEW TC,111067,3_merged_3090848,3065382
b_69171,18286,1,1,WASHINGTON PARK - TO EMERSON PARK TC,111268,2_merged_3090849,3073691
b_62525,18247,1,1,TO BROADWAY TAYLOR TC,111072,3_merged_3090848,3065731
b_67108,18274B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,111208,2_merged_3090849,3069562
b_6272,18220,1,1,TO CENTRAL WEST END TC,110987,1_merged_3090847,3062025
b_69107,18281,1,0,MAIN ST STATE ST - TO 5TH & MO VIA FAIRVIEW HGTS STA,111251,1_merged_3090847,3072707
b_69107,18281,1,0,MAIN ST STATE ST - TO 5TH & MO VIA FAIRVIEW HGTS STA,111251,1_merged_3090847,3072714
a_69222,18341,1,0,WASHINGTON PARK - TO WASHINGTON PARK TC,111520,3_merged_3090845,3087739
b_67103,18274B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,111208,2_merged_3090849,3069563
b_65495,18246,1,0,TO ROCK ROAD TC,111066,3_merged_3090848,3065355
b_65592,18249,1,0,TO CIVIC CENTER TC,111078,3_merged_3090848,3066110
b_62225,18228,1,0,TO SHREWSBURY I-44 TC,111015,2_merged_3090849,3063187
b_69105,18281,1,0,MAIN ST STATE ST - TO 5TH & MO VIA FAIRVIEW HGTS STA,111251,1_merged_3090847,3072717
b_67112,18274B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,111208,2_merged_3090849,3069560
b_6291,18240,1,1,TO STLCC MERAMEC,111044,2_merged_3090849,3075757
b_6514,18217,1,1,TO ROCK ROAD TC,110975,1_merged_3090847,3061632
b_65192,18226,1,1,TO OFALLON PARK,111011,2_merged_3090849,3062982
b_69102,18281,1,0,MAIN ST STATE ST - TO 5TH & MO VIA FAIRVIEW HGTS STA,111251,1_merged_3090847,3072716
b_67115,18274R,1,0,RED LINE TO SHILOH SCOTT,111213,2_merged_3090849,3069561
b_6511,18217,1,1,TO ROCK ROAD TC,110975,1_merged_3090847,3061633
b_67101,18274R,1,0,RED LINE TO SHILOH SCOTT,111213,3_merged_3090848,3069878
b_62578,18248,1,0,TO SO COUNTY MALL,111074,1_merged_3090847,3072611
a_69142,18336,1,1,SAUGET- WATER ST TO 5TH & MO TC,111509,2_merged_3090846,3087032
b_65599,18249,1,0,TO CIVIC CENTER TC,111078,3_merged_3090848,3066092
b_6542,18218,1,0,TO CIVIC CENTER TC,110976,1_merged_3090847,3061751
b_69261,18287,1,0,CASEYVILLE - TO COLLINSVILLE TC,111269,1_merged_3090847,3073761
b_6514,18217,1,0,TO BRENTWOOD I-64 TC,110969,1_merged_3090847,3061630
a_65345,18309,1,1,TO RIVERVIEW TC,111389,3_merged_3090845,3083063
a_65345,18309,1,1,TO RIVERVIEW TC,111389,3_merged_3090845,3083062
a_65812,18330,1,1,TO BROADWAY TAYLOR TC,111490,1_merged_3090844,3086017
a_65811,18330,1,0,TO HAMPTON GRAVOIS TC,111488,1_merged_3090844,3086016
a_65811,18330,1,0,TO HAMPTON GRAVOIS TC,111488,1_merged_3090844,3086011
a_65191,18310,1,0,TO CENTRAL WEST END TC,111390,1_merged_3090844,3083066
a_65343,18309,1,1,TO RIVERVIEW TC,111389,3_merged_3090845,3083065
a_65344,18309,1,1,TO RIVERVIEW TC,111389,3_merged_3090845,3083064
a_65191,18310,1,0,TO CENTRAL WEST END TC,111390,1_merged_3090844,3083069
