stop_lat,wheelchair_boarding,zone_id,stop_lon,stop_id,stop_desc,stop_name,location_type,stop_code
38.683462,1,,-90.32964,2593,NEAR SIDE PAGE @ HANLEY EB,PAGE @ HANLEY EB,0,2593
38.579808,1,,-90.235102,3840,NEAR SIDE MERAMEC @ NEBRASKA WB,MERAMEC @ NEBRASKA WB,0,3840
38.588752,2,,-90.406216,5690,NEAR SIDE KIRKWOOD @ ESSEX NB,KIRKWOOD @ ESSEX NB,0,5690
38.685298,2,,-90.36157,4436,NEAR SIDE WOODSON @ TRENTON NB,WOODSON @ TRENTON NB,0,4436
38.599541,2,,-90.40643,5696,FAR SIDE KIRKWOOD @ MANCHESTER SB,KIRKWOOD @ MANCHESTER SB,0,5696
38.580465,2,,-90.240038,3844,FAR SIDE MERAMEC @ COMPTON WB,MERAMEC @ COMPTON WB,0,3844
38.594871,2,,-90.406277,5695,NEAR SIDE KIRKWOOD @ MORNINGSIDE NB,KIRKWOOD @ MORNINGSIDE NB,0,5695
38.573588,2,,-90.243302,3849,NEAR SIDE VIRGINIA @ MOUNT PLEASANT SB,VIRGINIA @ MOUNT PLEASANT SB,0,3849
38.574709,1,,-90.242913,3848,NEAR SIDE VIRGINIA @ TAFT SB,VIRGINIA @ TAFT SB,0,3848
38.643576,1,,-90.40541,5698,FAR SIDE LINDBERGH @ CONWAY NB,LINDBERGH @ CONWAY NB,0,5698
38.648254,2,,-90.405371,5699,NEAR SIDE LINDBERGH @ CHAMINADE NB,LINDBERGH @ CHAMINADE NB,0,5699
38.622483,2,,-90.338841,15974,NEAR SIDE STRASSNER @ HANLEY INDUSTRIAL COURT EB,STRASSNER @ HANLEY INDUSTRIAL COURT EB,0,15974
38.713704,2,,-90.323339,9219,NEAR SIDE NATURAL BRIDGE @ RAMONA EB,NATURAL BRIDGE @ RAMONA EB,0,9219
38.558271,2,,-90.10832,16436,FAR SIDE OLD MISSOURI @ CHURCH NB,OLD MISSOURI @ CHURCH NB,0,16436
38.470789,2,,-90.304952,8179,NEAR SIDE TELEGRAPH @ BAUMGARTNER SB,TELEGRAPH @ BAUMGARTNER SB,0,8179
38.620999,1,,-90.212236,4923,FAR SIDE CHOUTEAU @ MISSISSIPPI WB,CHOUTEAU @ MISSISSIPPI WB,0,4923
