index,minority,low_income,no_car_hh,lep,young,senior,ada_indiv,POP21,C000,CE01,CE02,CE03,CE02_CNS17,CE02_CNS18
12622,7.432806584124146,3.707569879692687,0.8408615075083995,1.113712302773871,2.98123343347957,5.5220415036539325,5.112013348940093,32.45347631880506,97.78207900906771,9.155625375380874,38.8198515916149,49.80660204207195,0.0,0.0
12623,0.2679034819792426,0.314627621957121,0.09839248853288676,0.11969204678529237,0.20587803961916606,0.3261500488723484,0.3683776007046085,1.9483110257919174,99.1252993161135,8.85291750839274,14.09477039532365,76.1776114123971,0.0,0.0
12624,0.13687369306255767,0.05866224572038004,0.0,0.00619046578129446,0.10561241748654143,0.11532875989530324,0.0643153485597784,0.6155091691115634,0.0,0.0,0.0,0.0,0.0,0.0
12625,0.13687369306255767,0.05866224572038004,0.0,0.00619046578129446,0.10561241748654143,0.11532875989530324,0.0643153485597784,0.6155091691115634,0.0,0.0,0.0,0.0,0.0,0.0
12626,0.05599361856795677,0.023998120732414575,0.0,0.002532455813531428,0.043204952598732076,0.047179808237815424,0.026310746899153803,0.25179846374541054,27.541083380403506,0.9342754015260063,5.601023025679801,21.0057849531977,0.0,0.0
12627,0.0064886962194445315,0.0027809689613327317,0.0,0.0002934680215965783,0.005006710045867694,0.005467327370087522,0.0030489625121852696,0.029179106147316922,425.655822397242,18.125626986903093,95.8105660572867,311.71962935305214,0.0,0.12697016676320474
12628,0.037709852446204443,0.016161941573882035,0.0,0.0017055253348004435,0.029097108368984916,0.031774042338931524,0.017719418903287463,0.16957794757444408,176.1619399613792,31.661184571110777,31.742754047213175,112.75800134305526,0.7277447904413319,0.7379026682374574
12629,0.04601152668906433,0.0197199288205812,0.0,0.0020809899633787744,0.03550272121069779,0.038768971562081984,0.021620278598183246,0.2069098592159467,195.84097553348064,36.9413844077095,36.24195534752213,122.657635778249,0.3671937466565847,0.900349009903296
12630,0.11379748919402145,0.0797348259806957,0.0,0.01219189841132631,0.07247159209970777,0.10413833126344237,0.09022678276663204,0.7602225077376649,205.2684309575932,28.53411444890358,46.9394733549414,129.79484315374822,0.0,0.3387905443108152
12631,0.09998999674583701,0.07341037735770312,0.0,0.01147487107005413,0.062019111905645734,0.09239581977779875,0.08325597699061292,0.6948671925755001,243.47947248307216,29.121967076362395,65.76455900892802,148.59294639778176,0.0,0.09340837670687051
